question,label
Are there abnormal drops in oxygen levels at CBYIP.D1 in the last quarter that could threaten aquatic life?,data_and_knowledge_query
Does the average water temperature at CBYSP in the first week of April 2024 indicate safe swimming conditions?,data_and_knowledge_query
Is it safe to travel on the ice at CBYIP.D2 during the last quarter based on average ice thickness data?,data_and_knowledge_query
"Based on salinity and temperature measurements at CBYSU in the last quarter, can you infer whether sea ice formation is likely?",data_and_knowledge_query
Can turbidity measurements at CBYSP in autumn 2023 suggest the presence of runoff pollution?,data_and_knowledge_query
Does the maximum salinity at CBYIP.D1 during May 2023 exceed the recommended levels for marine life?,data_and_knowledge_query
Are current oxygen levels at CBYSS during the last quarter enough for aquatic species to survive?,data_and_knowledge_query
Is the oxygen content at CBYSP during July 2023 sufficient for aquatic life survival?,data_and_knowledge_query
Does the maximum turbidity at CBYIP.D1 in the last week of June 2023 suggest unsafe drinking water?,data_and_knowledge_query
Have turbidity levels at CBYIP.K2 exceeded the safety threshold for drinking water in the last week?,data_and_knowledge_query
Is it safe to travel on the ice at CBYIP.K2 during January 2023 based on average ice thickness data?,data_and_knowledge_query
Would a drop in pressure at CBYIJ.J2 in the last 3 months indicate a likely storm event?,data_and_knowledge_query
Is there a relationship between high temperature and low oxygen levels at CBYIP.D4 in August 2024?,data_and_knowledge_query
Does a spike in temperature at CBYIJ.J2 in spring 2024 point to a heatwave?,data_and_knowledge_query
Are the oxygen levels at CBYIP.D2 in January 2023 sufficient to support fish populations?,data_and_knowledge_query
Does the maximum turbidity at CF240 in January 2023 suggest unsafe drinking water?,data_and_knowledge_query
Is the oxygen content at CBYSP during May 2023 sufficient for aquatic life survival?,data_and_knowledge_query
Are current oxygen levels at CBYDS during the last week of June 2023 enough for aquatic species to survive?,data_and_knowledge_query
Have turbidity levels at CBYSU exceeded the safety threshold for drinking water in September 2023?,data_and_knowledge_query
Would the observed pressure changes at CBYIP.D1 in summer 2023 suggest a storm event?,data_and_knowledge_query
Should boating activities at CBYIP.D3 be limited if turbidity exceeds safety thresholds during spring 2024?,data_and_knowledge_query
Does turbidity at CBYIP.K3 in the past month suggest increased sediment disturbance compared to last year?,data_and_knowledge_query
Are radiometer readings at CBYIP.K2 in summer 2023 high enough to suggest increased plant growth?,data_and_knowledge_query
Does a spike in temperature at CBYIP.K1 in winter 2024 point to a heatwave?,data_and_knowledge_query
Is the water temperature at CBYSU in the first week of April 2024 higher than in previous years?,data_and_knowledge_query
Are there abnormal drops in oxygen levels at CBYSP in April 2024 that could threaten aquatic life?,data_and_knowledge_query
Have turbidity levels at CBYSU exceeded the safety threshold for drinking water in summer 2023?,data_and_knowledge_query
Does a spike in temperature at CBYSP in May 2023 point to a heatwave?,data_and_knowledge_query
Does the trend in water temperature at CBYIP.K2 over the past five years point to climate change?,data_and_knowledge_query
Would the observed pressure changes at CBYIP.K3 in the past month suggest a storm event?,data_and_knowledge_query
Do conductivity and turbidity values at CBYIP.D3 in spring 2024 indicate pollution events?,data_and_knowledge_query
Are radiometer readings at CBYIP in May 2023 high enough to suggest increased plant growth?,data_and_knowledge_query
Do water level data at Cambridge Bay in July 2023 indicate a flood risk?,data_and_knowledge_query
