question,label
What sensors are located at CBYSP?,deployment_info
What type of devices are deployed at CBYSS?,deployment_info
"Show me the pressure values at CBYSP on February 14, 2024 at 11am.",observation_query
"Retrieve light intensity at CF240 on December 25, 2023 at 9am.",observation_query
Describe the deployment setup at CBYSS.,deployment_info
How many deployments are at CBYSP?,deployment_info
How is Hydrophone used in the field?,general_knowledge
Why is a Water Quality Monitor important in oceanography?,general_knowledge
What type of devices are deployed at CBYSP?,deployment_info
What is a Camera Lights?,general_knowledge
Why is a Camera Lights important in oceanography?,general_knowledge
"Provide water level data from CBYIP on May 18, 2023 at 6pm.",observation_query
What categories of instruments are deployed at CBY?,deployment_info
Can you describe what a Hydrophone is used for?,general_knowledge
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",observation_query
Are there any video cameras at CBYIU?,deployment_info
Give a list of deployments at CBY.,deployment_info
How is Conductivity Temperature Depth used in the field?,general_knowledge
"Show me the pressure values at CBYSU on February 14, 2024 at 11am.",observation_query
What type of devices are deployed at CF240?,deployment_info
What is the depth of deployments at CBYDS?,deployment_info
"Retrieve light intensity at CBYDS on December 25, 2023 at 9am.",observation_query
What is the purpose of a Automatic Identification Systems Receiver in marine research?,general_knowledge
"What was the temperature at CBYSP on August 10, 2024 at 5pm?",observation_query
"What was the temperature at CBY on August 10, 2024 at 5pm?",observation_query
"What was the recorded radiometer reading at CBYSU on July 4, 2022 at 10am?",observation_query
What devices were deployed at CF240 in 2023?,deployment_info
"What was the temperature at CBYSU on August 10, 2024 at 5pm?",observation_query
What role does a Ice Profiler play in underwater observation?,general_knowledge
"What was the recorded radiometer reading at CF240 on July 4, 2022 at 10am?",observation_query
"Show me the pressure values at CBYSU on February 14, 2024 at 11am.",observation_query
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",observation_query
What is the depth of deployments at CF240?,deployment_info
"Show me the pressure values at CBYSS on February 14, 2024 at 11am.",observation_query
"Show oxygen level data from CBY on June 15, 2023 at noon.",observation_query
What devices were deployed at CBYSP in 2023?,deployment_info
"Display the turbidity at CBYIU on April 20, 2023 at 7am.",observation_query
How does a Orientation Instrument operate?,general_knowledge
Can you describe what a Oxygen Sensor is used for?,general_knowledge
What categories of instruments are deployed at CBYIU?,deployment_info
Tell me more about Acoustic Doppler Current Profiler 1200 kHz.,general_knowledge
"What was the CO2 level at CBYIP on March 5, 2024 at 3pm?",observation_query
Give a list of deployments at CBYSS.,deployment_info
What type of devices are deployed at CBYIP?,deployment_info
"Provide water level data from CBYSS on May 18, 2023 at 6pm.",observation_query
Does CBYSU have active devices?,deployment_info
Tell me more about Ice Profiler.,general_knowledge
Give a list of deployments at CBYSP.,deployment_info
What categories of instruments are deployed at CBY?,deployment_info
Why is a Radiometer important in oceanography?,general_knowledge
"What was the recorded radiometer reading at CBYSU on July 4, 2022 at 10am?",observation_query
What devices were deployed at CBYSP in 2023?,deployment_info
Are there any video cameras at CBYIU?,deployment_info
What categories of instruments are deployed at CBYIP?,deployment_info
Can you describe what a Radiometer is used for?,general_knowledge
Give a list of deployments at CBYIU.,deployment_info
"What was the temperature at CBYSS on August 10, 2024 at 5pm?",observation_query
How many deployments are at CBYDS?,deployment_info
"Show me the pressure values at CF240 on February 14, 2024 at 11am.",observation_query
What type of devices are deployed at CBYIU?,deployment_info
Are there any video cameras at CBY?,deployment_info
Tell me more about Nitrate sensor.,general_knowledge
What type of devices are deployed at CBYSU?,deployment_info
"Give me the salinity readings at CBYSU on January 1, 2022 at 8am.",observation_query
What devices were deployed at CF240 in 2023?,deployment_info
What categories of instruments are deployed at CF240?,deployment_info
Give an overview of Fluorometer Turbidity.,general_knowledge
What is the depth of deployments at CBYIP?,deployment_info
How is Radiometer used in the field?,general_knowledge
"What was the temperature at CBYSU on August 10, 2024 at 5pm?",observation_query
Are there any video cameras at CBYDS?,deployment_info
What categories of instruments are deployed at CBYDS?,deployment_info
Why is a pH Sensor important in oceanography?,general_knowledge
How does a Coloured Dissolved Organic Matter operate?,general_knowledge
"Show me the pressure values at CBY on February 14, 2024 at 11am.",observation_query
What type of devices are deployed at CBYSP?,deployment_info
"Display the turbidity at CBYSS on April 20, 2023 at 7am.",observation_query
"What was the recorded radiometer reading at CBYIU on July 4, 2022 at 10am?",observation_query
What is the purpose of a Plankton Sampler in marine research?,general_knowledge
"What was the temperature at CBYIP on August 10, 2024 at 5pm?",observation_query
"What was the recorded radiometer reading at CBYSS on July 4, 2022 at 10am?",observation_query
Give an overview of Conductivity Temperature Depth.,general_knowledge
