question,label
"What is the maximum salinity at CBY from November 17, 2023 to November 23, 2023?",data_download_interval
"Show me the mean temperature for CBYIP between May 23, 2023 and July 15, 2023.",data_download_interval
"What is the highest water at CBYSS.M2 from December 24, 2023 to February 03, 2024?",data_download_interval
"What is the mean oxygen at CBYIU from February 17, 2023 to March 06, 2023?",data_download_interval
"Show me the mean salinity for CBYSS.M1 between October 16, 2023 and November 04, 2023.",data_download_interval
"Show me the minimum water for CBYIU between August 19, 2023 and September 23, 2023.",data_download_interval
"What is the average sigma at CBYIP from December 05, 2023 to January 13, 2024?",data_download_interval
"Show me the maximum volume for CBYSS.M1 between December 07, 2023 and December 29, 2023.",data_download_interval
"Show me the average radiometer for CBYIP.D4 between January 01, 2023 and February 27, 2023.",data_download_interval
"Show me the lowest volume for CBYSU.AC1 between May 29, 2023 and June 06, 2023.",data_download_interval
"Show me the mean volume for CBYSS.M2 between March 21, 2023 and April 22, 2023.",data_download_interval
"Show me the mean oxygen for CBYIU.AC1 between August 06, 2023 and August 11, 2023.",data_download_interval
"What is the lowest pressure at CBYIU.AC3 from April 28, 2023 to June 17, 2023?",data_download_interval
"Show me the mean sigma for CBYSU.AC1 between March 18, 2023 and April 13, 2023.",data_download_interval
"Show me the lowest level for CBYIJ.J2 between May 23, 2023 and July 06, 2023.",data_download_interval
"What is the minimum salinity at CBYSP from January 23, 2023 to January 28, 2023?",data_download_interval
"Show me the average water for CBYIU.AC2 between October 31, 2023 and November 11, 2023.",data_download_interval
"What is the mean oxygen at CBYIU.AC3 from February 01, 2023 to April 02, 2023?",data_download_interval
"What is the highest sigma at CBYIU.AC4 from April 15, 2023 to May 11, 2023?",data_download_interval
"What is the average temperature at CBYIP.D3 from August 17, 2023 to September 06, 2023?",data_download_interval
"What is the highest water at CBYSP from April 26, 2023 to May 12, 2023?",data_download_interval
"Show me the mean salinity for CBYSP between January 09, 2023 and January 13, 2023.",data_download_interval
"Show me the maximum sigma for CBYIU.AC1 between September 15, 2023 and November 12, 2023.",data_download_interval
"Show me the lowest sigma for CBYIP.D1 between July 21, 2023 and September 04, 2023.",data_download_interval
"Show me the minimum level for CBYSS.M2 between December 13, 2023 and February 06, 2024.",data_download_interval
"What is the minimum pressure at CBYIJ.J1 from April 08, 2023 to May 29, 2023?",data_download_interval
"Show me the lowest temperature for CBYIP.K2 between February 15, 2023 and March 10, 2023.",data_download_interval
"Show me the maximum conductivity for CBYIP.K2 between May 18, 2023 and May 22, 2023.",data_download_interval
"What is the minimum radiometer at CBYIP.D2 from June 14, 2023 to July 02, 2023?",data_download_interval
"Show me the mean volume for CBYIP.D4 between December 09, 2023 and December 22, 2023.",data_download_interval
"Show me the mean conductivity for CBYDS between June 21, 2023 and July 23, 2023.",data_download_interval
"What is the lowest radiometer at CBYIJ.J1 from January 22, 2023 to March 11, 2023?",data_download_interval
"What is the mean volume at CBYSU from November 28, 2023 to January 05, 2024?",data_download_interval
"What is the minimum temperature at CBYSU.AC2 from May 09, 2023 to May 26, 2023?",data_download_interval
"Show me the maximum volume for CBYSS.M2 between March 08, 2023 and April 18, 2023.",data_download_interval
"Show me the mean salinity for CBYIP.K2 between March 31, 2023 and April 24, 2023.",data_download_interval
"Show me the lowest radiometer for CBYIP.D2 between July 22, 2023 and August 10, 2023.",data_download_interval
"Show me the highest volume for CBYIJ.J2 between March 20, 2023 and May 18, 2023.",data_download_interval
"Show me the lowest sigma for CBYIP.D4 between April 01, 2023 and May 06, 2023.",data_download_interval
"Show me the highest level for CBYSU.AC1 between February 12, 2023 and March 27, 2023.",data_download_interval
"What is the minimum pressure at CBYIU.AC1 from May 22, 2023 to July 19, 2023?",data_download_interval
"What is the lowest conductivity at CBY from July 13, 2023 to September 10, 2023?",data_download_interval
"Show me the mean level for CBYSS.M1 between November 13, 2023 and January 05, 2024.",data_download_interval
"Show me the maximum sigma for CBYIP.K3 between June 08, 2023 and July 12, 2023.",data_download_interval
"What is the average water at CBY from June 19, 2023 to July 26, 2023?",data_download_interval
"Show me the lowest conductivity for CBYIP between November 24, 2023 and December 07, 2023.",data_download_interval
"Show me the minimum oxygen for CBYSU.AC1 between March 03, 2023 and April 09, 2023.",data_download_interval
"What is the average volume at CBYIP.D3 from March 03, 2023 to April 07, 2023?",data_download_interval
"What is the lowest level at CBYIP from July 13, 2023 to September 06, 2023?",data_download_interval
"What is the lowest pressure at CBYSS.M1 from March 22, 2023 to March 28, 2023?",data_download_interval
"What is the mean conductivity at CBYIU.AC2 from January 23, 2023 to January 30, 2023?",data_download_interval
"Show me the maximum conductivity for CBYIU.AC3 between October 06, 2023 and November 02, 2023.",data_download_interval
"Show me the mean conductivity for CBYIU.AC5 between November 30, 2023 and January 27, 2024.",data_download_interval
"What is the lowest volume at CBYDS from June 03, 2023 to June 08, 2023?",data_download_interval
"Show me the average temperature for CBYSS between August 18, 2023 and September 19, 2023.",data_download_interval
"Show me the mean sigma for CBYDS between February 01, 2023 and March 11, 2023.",data_download_interval
"What is the average volume at CBYIJ.J1 from July 30, 2023 to September 18, 2023?",data_download_interval
