question,label
What sensors are located at CBYSP?,data_discovery
What type of devices are deployed at CBYSS?,data_discovery
"Show me the pressure values at CBYSP on February 14, 2024 at 11am.",data_download_instance
"Retrieve light intensity at CF240 on December 25, 2023 at 9am.",data_download_instance
Describe the deployment setup at CBYSS.,data_discovery
How many deployments are at CBYSP?,data_discovery
How is Hydrophone used in the field?,general_knowledge
Why is a Water Quality Monitor important in oceanography?,general_knowledge
What type of devices are deployed at CBYSP?,data_discovery
What is a Camera Lights?,general_knowledge
Why is a Camera Lights important in oceanography?,general_knowledge
"Provide water level data from CBYIP on May 18, 2023 at 6pm.",data_download_instance
What categories of instruments are deployed at CBY?,data_discovery
Can you describe what a Hydrophone is used for?,general_knowledge
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",data_download_instance
Are there any video cameras at CBYIU?,data_discovery
Give a list of deployments at CBY.,data_discovery
How is Conductivity Temperature Depth used in the field?,general_knowledge
"Show me the pressure values at CBYSU on February 14, 2024 at 11am.",data_download_instance
What type of devices are deployed at CF240?,data_discovery
What is the depth of deployments at CBYDS?,data_discovery
"Retrieve light intensity at CBYDS on December 25, 2023 at 9am.",data_download_instance
What is the purpose of a Automatic Identification Systems Receiver in marine research?,general_knowledge
"What was the temperature at CBYSP on August 10, 2024 at 5pm?",data_download_instance
"What was the temperature at CBY on August 10, 2024 at 5pm?",data_download_instance
"What was the recorded radiometer reading at CBYSU on July 4, 2022 at 10am?",data_download_instance
What devices were deployed at CF240 in 2023?,data_discovery
"What was the temperature at CBYSU on August 10, 2024 at 5pm?",data_download_instance
What role does a Ice Profiler play in underwater observation?,general_knowledge
"What was the recorded radiometer reading at CF240 on July 4, 2022 at 10am?",data_download_instance
"Show me the pressure values at CBYSU on February 14, 2024 at 11am.",data_download_instance
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",data_download_instance
What is the depth of deployments at CF240?,data_discovery
"Show me the pressure values at CBYSS on February 14, 2024 at 11am.",data_download_instance
"Show oxygen level data from CBY on June 15, 2023 at noon.",data_download_instance
What devices were deployed at CBYSP in 2023?,data_discovery
"Display the turbidity at CBYIU on April 20, 2023 at 7am.",data_download_instance
How does a Orientation Instrument operate?,general_knowledge
Can you describe what a Oxygen Sensor is used for?,general_knowledge
What categories of instruments are deployed at CBYIU?,data_discovery
Tell me more about Acoustic Doppler Current Profiler 1200 kHz.,general_knowledge
"What was the CO2 level at CBYIP on March 5, 2024 at 3pm?",data_download_instance
Give a list of deployments at CBYSS.,data_discovery
What type of devices are deployed at CBYIP?,data_discovery
"Provide water level data from CBYSS on May 18, 2023 at 6pm.",data_download_instance
Does CBYSU have active devices?,data_discovery
Tell me more about Ice Profiler.,general_knowledge
Give a list of deployments at CBYSP.,data_discovery
What categories of instruments are deployed at CBY?,data_discovery
Why is a Radiometer important in oceanography?,general_knowledge
"What was the recorded radiometer reading at CBYSU on July 4, 2022 at 10am?",data_download_instance
What devices were deployed at CBYSP in 2023?,data_discovery
Are there any video cameras at CBYIU?,data_discovery
What categories of instruments are deployed at CBYIP?,data_discovery
Can you describe what a Radiometer is used for?,general_knowledge
Give a list of deployments at CBYIU.,data_discovery
"What was the temperature at CBYSS on August 10, 2024 at 5pm?",data_download_instance
How many deployments are at CBYDS?,data_discovery
"Show me the pressure values at CF240 on February 14, 2024 at 11am.",data_download_instance
What type of devices are deployed at CBYIU?,data_discovery
Are there any video cameras at CBY?,data_discovery
Tell me more about Nitrate sensor.,general_knowledge
What type of devices are deployed at CBYSU?,data_discovery
"Give me the salinity readings at CBYSU on January 1, 2022 at 8am.",data_download_instance
What devices were deployed at CF240 in 2023?,data_discovery
What categories of instruments are deployed at CF240?,data_discovery
Give an overview of Fluorometer Turbidity.,general_knowledge
What is the depth of deployments at CBYIP?,data_discovery
How is Radiometer used in the field?,general_knowledge
"What was the temperature at CBYSU on August 10, 2024 at 5pm?",data_download_instance
Are there any video cameras at CBYDS?,data_discovery
What categories of instruments are deployed at CBYDS?,data_discovery
Why is a pH Sensor important in oceanography?,general_knowledge
How does a Coloured Dissolved Organic Matter operate?,general_knowledge
"Show me the pressure values at CBY on February 14, 2024 at 11am.",data_download_instance
What type of devices are deployed at CBYSP?,data_discovery
"Display the turbidity at CBYSS on April 20, 2023 at 7am.",data_download_instance
"What was the recorded radiometer reading at CBYIU on July 4, 2022 at 10am?",data_download_instance
What is the purpose of a Plankton Sampler in marine research?,general_knowledge
"What was the temperature at CBYIP on August 10, 2024 at 5pm?",data_download_instance
"What was the recorded radiometer reading at CBYSS on July 4, 2022 at 10am?",data_download_instance
Give an overview of Conductivity Temperature Depth.,general_knowledge
Tell me more about Conductivity Temperature Depth.,general_knowledge
"What was the CO2 level at CBYIP on March 5, 2024 at 3pm?",data_download_instance
Are there any video cameras at CBYSS?,data_discovery
What type of devices are deployed at CBYSU?,data_discovery
What is the purpose of a Ice Buoy in marine research?,general_knowledge
How does a Fluorometer Turbidity operate?,general_knowledge
Tell me more about Meteorological Station.,general_knowledge
"Give conductivity data from CBYSU on October 10, 2022 at 2pm.",data_download_instance
How does a Navigation System operate?,general_knowledge
"What was the temperature at CF240 on August 10, 2024 at 5pm?",data_download_instance
Why is a Conductivity Temperature Depth important in oceanography?,general_knowledge
Give a list of deployments at CBYSU.,data_discovery
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",data_download_instance
What role does a Acoustic Doppler Current Profiler 1200 kHz play in underwater observation?,general_knowledge
How does a Adapter operate?,general_knowledge
Are there any video cameras at CBYSP?,data_discovery
"Give conductivity data from CBYIU on October 10, 2022 at 2pm.",data_download_instance
Tell me more about Remotely Operated Vehicle Camera.,general_knowledge
Give a list of deployments at CBYSS.,data_discovery
What devices were deployed at CBYDS in 2023?,data_discovery
"Provide water level data from CBYSS on May 18, 2023 at 6pm.",data_download_instance
Can you describe what a Video Camera is used for?,general_knowledge
Can you describe what a Fluorometer is used for?,general_knowledge
What sensors are located at CBYDS?,data_discovery
"What was the CO2 level at CF240 on March 5, 2024 at 3pm?",data_download_instance
"What was the temperature at CF240 on August 10, 2024 at 5pm?",data_download_instance
"Display the turbidity at CF240 on April 20, 2023 at 7am.",data_download_instance
"Give me the salinity readings at CBYIU on January 1, 2022 at 8am.",data_download_instance
Tell me more about Meteorological Station.,general_knowledge
What is the depth of deployments at CBYSS?,data_discovery
"Show oxygen level data from CBYDS on June 15, 2023 at noon.",data_download_instance
Why is a Remotely Operated Vehicle Camera important in oceanography?,general_knowledge
Give a list of deployments at CBYIP.,data_discovery
Does CBYDS have active devices?,data_discovery
What role does a Remotely Operated Vehicle Camera play in underwater observation?,general_knowledge
"Retrieve light intensity at CBY on December 25, 2023 at 9am.",data_download_instance
What role does a Navigation System play in underwater observation?,general_knowledge
"Show me the pressure values at CBY on February 14, 2024 at 11am.",data_download_instance
"Give conductivity data from CF240 on October 10, 2022 at 2pm.",data_download_instance
"Retrieve light intensity at CBYIP on December 25, 2023 at 9am.",data_download_instance
Tell me more about Video Camera.,general_knowledge
Are there any video cameras at CBYSS?,data_discovery
Why is a Oxygen Sensor important in oceanography?,general_knowledge
"What was the temperature at CF240 on August 10, 2024 at 5pm?",data_download_instance
Explain the function of a pH Sensor.,general_knowledge
"Show me the pressure values at CBYIP on February 14, 2024 at 11am.",data_download_instance
