question,label
What sensors are located at CBYIP?,data_discovery
Describe the deployment setup at CBYIP.,data_discovery
Does CBYIJ.J1 have active devices?,data_discovery
"Give conductivity data from CBYIP.K2 on October 10, 2022 at 2pm.",data_download_instance
What is the purpose of a ocean salinity in marine research?,general_knowledge
Are there any ROV cameras at CBYIJ.J1?,data_discovery
Are there any ROV cameras at CBYIP.D3?,data_discovery
"Provide water level data from CBYIP.D3 on May 18, 2023 at 6pm.",data_download_instance
What is a dissolved oxygen?,general_knowledge
What type of devices are deployed at CBYIP.D1?,data_discovery
What type of devices are deployed at CBYDS?,data_discovery
Does CBYIP.D3 have active devices?,data_discovery
Explain the function of a fluorometer.,general_knowledge
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",data_download_instance
"Show me the pressure values at CBYIJ.J2 on February 14, 2024 at 11am.",data_download_instance
"What was the temperature at CBY on August 10, 2024 at 5pm?",data_download_instance
Tell me more about ROV camera.,general_knowledge
Explain the function of a PH sensor.,general_knowledge
How many deployments are at CBYIP.D1?,data_discovery
Tell me more about dissolved oxygen.,general_knowledge
"What was the CO2 level at CBYIU on March 5, 2024 at 3pm?",data_download_instance
How many deployments are at CBYIJ.J1?,data_discovery
"Retrieve light intensity at CBYIJ.J1 on December 25, 2023 at 9am.",data_download_instance
What is the depth of deployments at CBYIJ.J1?,data_discovery
What is a CTD?,general_knowledge
What type of devices are deployed at CBYIP.D3?,data_discovery
Does CBYIP.K3 have active devices?,data_discovery
"Give me the salinity readings at CBYDS on January 1, 2022 at 8am.",data_download_instance
Does CBYIJ.J2 have active devices?,data_discovery
"Retrieve light intensity at CBYIJ.J1 on December 25, 2023 at 9am.",data_download_instance
What is the depth of deployments at CBYIP.D1?,data_discovery
What devices were deployed at CBYIP in 2023?,data_discovery
"Give conductivity data from CBYIP.D1 on October 10, 2022 at 2pm.",data_download_instance
"Show me the pressure values at CBYIP.D2 on February 14, 2024 at 11am.",data_download_instance
Tell me more about ROV camera.,general_knowledge
What sensors are located at CBY?,data_discovery
"Show me the pressure values at CBY on February 14, 2024 at 11am.",data_download_instance
Does CBYIP.K2 have active devices?,data_discovery
"Show me the pressure values at CBYIP.D2 on February 14, 2024 at 11am.",data_download_instance
Give a list of deployments at CBYIP.K2.,data_discovery
What is the depth of deployments at CBYDS?,data_discovery
What is the depth of deployments at CBYIP.D3?,data_discovery
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",data_download_instance
Describe the deployment setup at CBYIP.D1.,data_discovery
Explain the function of a radiometer.,general_knowledge
Describe the deployment setup at CBYIJ.J1.,data_discovery
Explain the function of a PH sensor.,general_knowledge
What type of devices are deployed at CBYIU?,data_discovery
Explain the function of a radiometer.,general_knowledge
How does a hydrophone operate?,general_knowledge
What is the purpose of a turbidity in marine research?,general_knowledge
What sensors are located at CBYIP.D2?,data_discovery
"Show oxygen level data from CBYIU on June 15, 2023 at noon.",data_download_instance
What devices were deployed at CBYIU in 2023?,data_discovery
"What was the recorded radiometer reading at CBY on July 4, 2022 at 10am?",data_download_instance
Give a list of deployments at CBYIP.K2.,data_discovery
Can you describe what a conductivity sensor is used for?,general_knowledge
Give a list of deployments at CBYIP.,data_discovery
Describe the deployment setup at CBYIP.K2.,data_discovery
How is PH sensor used in the field?,general_knowledge
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",data_download_instance
"Give me the salinity readings at CBYIP on January 1, 2022 at 8am.",data_download_instance
How is data logger used in the field?,general_knowledge
What type of devices are deployed at CBYIP.K2?,data_discovery
What role does a ROV camera play in underwater observation?,general_knowledge
How does a dissolved oxygen operate?,general_knowledge
What is a radiometer?,general_knowledge
"Show me the pressure values at CBYIP.D1 on February 14, 2024 at 11am.",data_download_instance
"Give me the salinity readings at CBYIJ.J2 on January 1, 2022 at 8am.",data_download_instance
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",data_download_instance
Can you describe what a conductivity sensor is used for?,general_knowledge
"Give conductivity data from CBYIP.D3 on October 10, 2022 at 2pm.",data_download_instance
How is AIS receiver used in the field?,general_knowledge
"Display the turbidity at CBYIP.D4 on April 20, 2023 at 7am.",data_download_instance
Describe the deployment setup at CBY.,data_discovery
