question,label
Tell me more about Pressure.,general_knowledge
What is the purpose of a Sigma-theta in marine research?,general_knowledge
How is Resevoir Volume used in the field?,general_knowledge
"Provide water level data from CBYSP on May 18, 2023 at 6pm.",observation_query
"What was the recorded radiometer reading at CBYSU.AC2 on July 4, 2022 at 10am?",observation_query
"Provide water level data from CBYIU.AC5 on May 18, 2023 at 6pm.",observation_query
"What was the recorded radiometer reading at CBYIU.AC1 on July 4, 2022 at 10am?",observation_query
Give a list of deployments at CBYSS.M2.,deployment_info
Tell me more about Wind Chill Temperature.,general_knowledge
Give an overview of Turbidity NTU.,general_knowledge
What is the purpose of a Sound Pressure Level in marine research?,general_knowledge
What devices were deployed at CBYSU.AC1 in 2023?,deployment_info
Give a list of deployments at CBYSU.AC2.,deployment_info
Explain the function of a Wet Bulb Temperature.,general_knowledge
"Show me the pressure values at CBYIU.AC4 on February 14, 2024 at 11am.",observation_query
What categories of instruments are deployed at CBYIP.K3?,deployment_info
How many deployments are at CBYSS.M1?,deployment_info
Describe the deployment setup at CBYIP.D2.,deployment_info
What devices were deployed at CF240 in 2023?,deployment_info
"Show me the pressure values at CBYIP.D3 on February 14, 2024 at 11am.",observation_query
What is the purpose of a Density in marine research?,general_knowledge
"Give me the salinity readings at CBYSS.M1 on January 1, 2022 at 8am.",observation_query
How many deployments are at CBY?,deployment_info
What categories of instruments are deployed at CBYSU.AC1?,deployment_info
What is the depth of deployments at CBYSS.M2?,deployment_info
"What was the temperature at CBYIU.AC3 on August 10, 2024 at 5pm?",observation_query
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",observation_query
Describe the deployment setup at CBYIP.D2.,deployment_info
"What was the CO2 level at CBYSU.AC2 on March 5, 2024 at 3pm?",observation_query
"What was the recorded radiometer reading at CBYIU on July 4, 2022 at 10am?",observation_query
What categories of instruments are deployed at CBYSU.AC1?,deployment_info
What type of devices are deployed at CBYIU.AC1?,deployment_info
"Provide water level data from CBYIP.D2 on May 18, 2023 at 6pm.",observation_query
How does a Amperage operate?,general_knowledge
"Show me the pressure values at CBYIP on February 14, 2024 at 11am.",observation_query
What categories of instruments are deployed at CBYIJ.J1?,deployment_info
"Give conductivity data from CBYIP.D2 on October 10, 2022 at 2pm.",observation_query
What type of devices are deployed at CBYIU.AC3?,deployment_info
"Show oxygen level data from CBYSS.M1 on June 15, 2023 at noon.",observation_query
How does a Resevoir Volume operate?,general_knowledge
Explain the function of a Tilt.,general_knowledge
What sensors are located at CBYSP?,deployment_info
How many deployments are at CBYIP.D3?,deployment_info
"Give conductivity data from CBYSU.AC2 on October 10, 2022 at 2pm.",observation_query
"Retrieve light intensity at CBYSS.M1 on December 25, 2023 at 9am.",observation_query
"Give conductivity data from CBYIU.AC1 on October 10, 2022 at 2pm.",observation_query
What type of devices are deployed at CBYIP.D4?,deployment_info
What devices were deployed at CBYIP.D2 in 2023?,deployment_info
Are there any video cameras at CBYIP.K2?,deployment_info
How is Sea Water Temperature used in the field?,general_knowledge
What devices were deployed at CF240 in 2023?,deployment_info
What role does a Micro-g Acceleration play in underwater observation?,general_knowledge
"Give conductivity data from CBYIU.AC3 on October 10, 2022 at 2pm.",observation_query
Why is a Engineering Count important in oceanography?,general_knowledge
"Give conductivity data from CBYIU.AC3 on October 10, 2022 at 2pm.",observation_query
"Display the turbidity at CBYDS on April 20, 2023 at 7am.",observation_query
Does CBYIP have active devices?,deployment_info
What role does a Status Code play in underwater observation?,general_knowledge
What is a Resevoir Volume?,general_knowledge
"Give me the salinity readings at CBYSS.M1 on January 1, 2022 at 8am.",observation_query
How many deployments are at CBYIP.K2?,deployment_info
What sensors are located at CBYIJ.J1?,deployment_info
What sensors are located at CBY?,deployment_info
"Give conductivity data from CBYIP on October 10, 2022 at 2pm.",observation_query
Give a list of deployments at CBYIJ.J1.,deployment_info
Tell me more about Relative Barometric Pressure.,general_knowledge
How is Target Persistence used in the field?,general_knowledge
"Provide water level data from CBYSS.M1 on May 18, 2023 at 6pm.",observation_query
Are there any video cameras at CF240?,deployment_info
How many deployments are at CBYIU.AC5?,deployment_info
