question,label
"What is the sum of salinity values in CF240 from September 29, 2023 to October 24, 2023?",data_download_interval
"What is the most common temperature at CF240 from June 27, 2023 to July 18, 2023?",data_download_interval
Show me the largest light for CF240 from January to March 2024.,data_download_interval
"Show me the average turbidity for CF240 between December 25, 2023 and January 15, 2024.",data_download_interval
"What is the least salinity at Cambridge Bay from July 21, 2023 to September 16, 2023?",data_download_interval
Show me the smallest co2 for CF240 in the past 30 days.,data_download_interval
"What is the difference between highest and lowest of salinity in Cambridge Bay between March 19, 2023 and May 06, 2023?",data_download_interval
"What is the highest pressure at CF240 from February 05, 2023 to April 04, 2023?",data_download_interval
Show me the greatest oxygen for Cambridge Bay in the last week of July 2024.,data_download_interval
What is the difference between highest and lowest of light in CF240 in the first two weeks of April 2024?,data_download_interval
What is the highest turbidity at CF240 in June 2023?,data_download_interval
What is the smallest turbidity at CF240 during the first half of March 2024?,data_download_interval
"What is the greatest pressure at CF240 from March 26, 2023 to April 01, 2023?",data_download_interval
What is the aggregate of temperature values in CF240 in autumn 2024?,data_download_interval
"What is the how many of pressure measurements at CF240 between January 16, 2023 and March 16, 2023?",data_download_interval
"What is the mean co2 at CF240 from February 24, 2023 to April 09, 2023?",data_download_interval
What is the range of pressure in Cambridge Bay from the start of 2024 until now?,data_download_interval
"What is the most frequent salinity at Cambridge Bay from August 29, 2023 to October 11, 2023?",data_download_interval
What is the aggregate of salinity values in CF240 in winter 2023?,data_download_interval
"Show me the average temperature for Cambridge Bay between December 14, 2023 and January 16, 2024.",data_download_interval
What is the spread of pressure in CF240 during the first half of March 2024?,data_download_interval
"What is the count of light measurements at Cambridge Bay between December 29, 2023 and January 19, 2024?",data_download_interval
What is the most frequent light at Cambridge Bay in the last year?,data_download_interval
"What is the maximum conductivity at CF240 from October 29, 2023 to November 20, 2023?",data_download_interval
"What is the mode oxygen at Cambridge Bay from October 29, 2023 to November 11, 2023?",data_download_interval
What is the mode co2 at CF240 in June 2023?,data_download_interval
Show me the maximum pressure for CF240 in the first week of July 2024.,data_download_interval
"How many co2 readings were recorded at Cambridge Bay from April 01, 2023 to May 23, 2023?",data_download_interval
What is the aggregate of turbidity values in CF240 in the last year?,data_download_interval
"What is the greatest light at Cambridge Bay from July 20, 2023 to September 01, 2023?",data_download_interval
"What is the range of temperature in CF240 between June 13, 2023 and July 03, 2023?",data_download_interval
"What is the greatest salinity at CF240 from May 12, 2023 to May 30, 2023?",data_download_interval
What is the aggregate of turbidity values in Cambridge Bay in the first week of July 2024?,data_download_interval
What is the sum of salinity values in CF240 in the first week of July 2024?,data_download_interval
What is the how many of oxygen measurements at Cambridge Bay in the last year?,data_download_interval
Show me the minimum depth for Cambridge Bay in autumn 2024.,data_download_interval
What is the spread of salinity in CF240 in the past 7 days?,data_download_interval
"How many depth readings were recorded at Cambridge Bay from April 02, 2023 to May 24, 2023?",data_download_interval
"What is the least light at CF240 from July 19, 2023 to August 01, 2023?",data_download_interval
"What is the total of temperature values in CF240 from August 02, 2023 to August 15, 2023?",data_download_interval
"What is the difference between highest and lowest of temperature in CF240 between July 03, 2023 and September 01, 2023?",data_download_interval
"What is the total of depth values in Cambridge Bay from March 28, 2023 to May 01, 2023?",data_download_interval
"What is the lowest depth at Cambridge Bay from April 05, 2023 to April 12, 2023?",data_download_interval
What is the smallest conductivity at Cambridge Bay in the past 30 days?,data_download_interval
"What is the most frequent light at Cambridge Bay from August 30, 2023 to September 13, 2023?",data_download_interval
What is the difference between highest and lowest of depth in CF240 in the past 7 days?,data_download_interval
"What is the range of depth in CF240 between April 12, 2023 and April 26, 2023?",data_download_interval
"What is the difference between highest and lowest of oxygen in Cambridge Bay between September 06, 2023 and October 22, 2023?",data_download_interval
What is the range of salinity in CF240 during the first half of March 2024?,data_download_interval
What is the mode pressure at CF240 in the last 3 months?,data_download_interval
What is the sum of co2 values in CF240 in the past 30 days?,data_download_interval
"What is the aggregate of turbidity values in Cambridge Bay from April 06, 2023 to April 26, 2023?",data_download_interval
"What is the smallest oxygen at CF240 from December 15, 2023 to February 03, 2024?",data_download_interval
"What is the most common depth at CF240 from July 31, 2023 to August 24, 2023?",data_download_interval
"What is the mode conductivity at Cambridge Bay from June 17, 2023 to August 03, 2023?",data_download_interval
What is the how many of depth measurements at CF240 in the second half of August 2023?,data_download_interval
Show me the mean conductivity for Cambridge Bay during summer 2023.,data_download_interval
"Show me the least salinity for Cambridge Bay between December 26, 2023 and February 15, 2024.",data_download_interval
"Show me the largest temperature for Cambridge Bay between February 08, 2023 and March 29, 2023.",data_download_interval
What is the most frequent turbidity at Cambridge Bay during the first half of March 2024?,data_download_interval
What is the aggregate of co2 values in CF240 in spring 2024?,data_download_interval
"Show me the average temperature for Cambridge Bay between March 21, 2023 and April 01, 2023.",data_download_interval
Show me the highest pressure for Cambridge Bay in July 2024.,data_download_interval
"Show me the average depth for CF240 between June 28, 2023 and July 16, 2023.",data_download_interval
"Show me the highest light for Cambridge Bay between September 24, 2023 and October 04, 2023.",data_download_interval
