question,label
What sensors are located at CBYIP?,deployment_info
Describe the deployment setup at CBYIP.,deployment_info
Does CBYIJ.J1 have active devices?,deployment_info
"Give conductivity data from CBYIP.K2 on October 10, 2022 at 2pm.",observation_query
What is the purpose of a ocean salinity in marine research?,general_knowledge
Are there any ROV cameras at CBYIJ.J1?,deployment_info
Are there any ROV cameras at CBYIP.D3?,deployment_info
"Provide water level data from CBYIP.D3 on May 18, 2023 at 6pm.",observation_query
What is a dissolved oxygen?,general_knowledge
What type of devices are deployed at CBYIP.D1?,deployment_info
What type of devices are deployed at CBYDS?,deployment_info
Does CBYIP.D3 have active devices?,deployment_info
Explain the function of a fluorometer.,general_knowledge
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",observation_query
"Show me the pressure values at CBYIJ.J2 on February 14, 2024 at 11am.",observation_query
"What was the temperature at CBY on August 10, 2024 at 5pm?",observation_query
Tell me more about ROV camera.,general_knowledge
Explain the function of a PH sensor.,general_knowledge
How many deployments are at CBYIP.D1?,deployment_info
Tell me more about dissolved oxygen.,general_knowledge
"What was the CO2 level at CBYIU on March 5, 2024 at 3pm?",observation_query
How many deployments are at CBYIJ.J1?,deployment_info
"Retrieve light intensity at CBYIJ.J1 on December 25, 2023 at 9am.",observation_query
What is the depth of deployments at CBYIJ.J1?,deployment_info
What is a CTD?,general_knowledge
What type of devices are deployed at CBYIP.D3?,deployment_info
Does CBYIP.K3 have active devices?,deployment_info
"Give me the salinity readings at CBYDS on January 1, 2022 at 8am.",observation_query
Does CBYIJ.J2 have active devices?,deployment_info
"Retrieve light intensity at CBYIJ.J1 on December 25, 2023 at 9am.",observation_query
What is the depth of deployments at CBYIP.D1?,deployment_info
What devices were deployed at CBYIP in 2023?,deployment_info
"Give conductivity data from CBYIP.D1 on October 10, 2022 at 2pm.",observation_query
"Show me the pressure values at CBYIP.D2 on February 14, 2024 at 11am.",observation_query
Tell me more about ROV camera.,general_knowledge
What sensors are located at CBY?,deployment_info
"Show me the pressure values at CBY on February 14, 2024 at 11am.",observation_query
Does CBYIP.K2 have active devices?,deployment_info
"Show me the pressure values at CBYIP.D2 on February 14, 2024 at 11am.",observation_query
Give a list of deployments at CBYIP.K2.,deployment_info
What is the depth of deployments at CBYDS?,deployment_info
What is the depth of deployments at CBYIP.D3?,deployment_info
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",observation_query
Describe the deployment setup at CBYIP.D1.,deployment_info
Explain the function of a radiometer.,general_knowledge
Describe the deployment setup at CBYIJ.J1.,deployment_info
Explain the function of a PH sensor.,general_knowledge
What type of devices are deployed at CBYIU?,deployment_info
Explain the function of a radiometer.,general_knowledge
How does a hydrophone operate?,general_knowledge
What is the purpose of a turbidity in marine research?,general_knowledge
What sensors are located at CBYIP.D2?,deployment_info
"Show oxygen level data from CBYIU on June 15, 2023 at noon.",observation_query
What devices were deployed at CBYIU in 2023?,deployment_info
"What was the recorded radiometer reading at CBY on July 4, 2022 at 10am?",observation_query
Give a list of deployments at CBYIP.K2.,deployment_info
Can you describe what a conductivity sensor is used for?,general_knowledge
Give a list of deployments at CBYIP.,deployment_info
Describe the deployment setup at CBYIP.K2.,deployment_info
How is PH sensor used in the field?,general_knowledge
"Display the turbidity at CBYIP on April 20, 2023 at 7am.",observation_query
"Give me the salinity readings at CBYIP on January 1, 2022 at 8am.",observation_query
How is data logger used in the field?,general_knowledge
What type of devices are deployed at CBYIP.K2?,deployment_info
What role does a ROV camera play in underwater observation?,general_knowledge
How does a dissolved oxygen operate?,general_knowledge
What is a radiometer?,general_knowledge
"Show me the pressure values at CBYIP.D1 on February 14, 2024 at 11am.",observation_query
"Give me the salinity readings at CBYIJ.J2 on January 1, 2022 at 8am.",observation_query
"Provide water level data from CBYIU on May 18, 2023 at 6pm.",observation_query
Can you describe what a conductivity sensor is used for?,general_knowledge
"Give conductivity data from CBYIP.D3 on October 10, 2022 at 2pm.",observation_query
How is AIS receiver used in the field?,general_knowledge
"Display the turbidity at CBYIP.D4 on April 20, 2023 at 7am.",observation_query
Describe the deployment setup at CBY.,deployment_info
Explain the function of a CTD.,general_knowledge
What sensors are located at CBYIP.D1?,deployment_info
What sensors are located at CBYIP.K3?,deployment_info
Describe the deployment setup at CBYIU.,deployment_info
Can you describe what a data logger is used for?,general_knowledge
"Provide water level data from CBYIP.K3 on May 18, 2023 at 6pm.",observation_query
"Retrieve light intensity at CBYIP.D4 on December 25, 2023 at 9am.",observation_query
What is a turbidity?,general_knowledge
Does CBYDS have active devices?,deployment_info
"Give me the salinity readings at CBYIJ.J2 on January 1, 2022 at 8am.",observation_query
"Show me the pressure values at CBYIJ.J1 on February 14, 2024 at 11am.",observation_query
"Show oxygen level data from CBYIP.K1 on June 15, 2023 at noon.",observation_query
What is a turbidity?,general_knowledge
"What was the temperature at CBYIU on August 10, 2024 at 5pm?",observation_query
What sensors are located at CBYIP.D4?,deployment_info
"Give me the salinity readings at CBYIJ.J2 on January 1, 2022 at 8am.",observation_query
Can you describe what a radiometer is used for?,general_knowledge
"Retrieve light intensity at CBYIP.K1 on December 25, 2023 at 9am.",observation_query
Give an overview of ocean deployments.,general_knowledge
Are there any ROV cameras at CBYIJ.J1?,deployment_info
How many deployments are at CBYIU?,deployment_info
Give an overview of AIS receiver.,general_knowledge
"Show oxygen level data from CBYDS on June 15, 2023 at noon.",observation_query
Are there any ROV cameras at CBYIP.D2?,deployment_info
How does a ocean salinity operate?,general_knowledge
What devices were deployed at CBYIP in 2023?,deployment_info
How is CTD used in the field?,general_knowledge
"Retrieve light intensity at CBYIJ.J2 on December 25, 2023 at 9am.",observation_query
"Retrieve light intensity at CBYIP.D2 on December 25, 2023 at 9am.",observation_query
Does CBYIP.D3 have active devices?,deployment_info
Give a list of deployments at CBYIJ.J1.,deployment_info
What devices were deployed at CBYIU in 2023?,deployment_info
"Retrieve light intensity at CBYIP.D2 on December 25, 2023 at 9am.",observation_query
How many deployments are at CBYIP.K2?,deployment_info
Tell me more about fluorometer.,general_knowledge
"Provide water level data from CBYIP.K1 on May 18, 2023 at 6pm.",observation_query
"Show me the pressure values at CBYIP.D4 on February 14, 2024 at 11am.",observation_query
"Retrieve light intensity at CBYIP.D4 on December 25, 2023 at 9am.",observation_query
What type of devices are deployed at CBY?,deployment_info
"Give me the salinity readings at CBYIP.D4 on January 1, 2022 at 8am.",observation_query
Does CBYIP have active devices?,deployment_info
What is a ROV camera?,general_knowledge
"What was the recorded radiometer reading at CBYIP.K2 on July 4, 2022 at 10am?",observation_query
Why is a CTD important in oceanography?,general_knowledge
How many deployments are at CBYIP.D1?,deployment_info
Tell me more about CO2 sensor.,general_knowledge
Why is a PH sensor important in oceanography?,general_knowledge
What is a hydrophone?,general_knowledge
"Give conductivity data from CBYIP on October 10, 2022 at 2pm.",observation_query
Are there any ROV cameras at CBYIJ.J1?,deployment_info
"Provide water level data from CBYIP.K3 on May 18, 2023 at 6pm.",observation_query
What type of devices are deployed at CBYIP?,deployment_info
"Show me the pressure values at CBYIP.K2 on February 14, 2024 at 11am.",observation_query
What is the purpose of a radiometer in marine research?,general_knowledge
"What was the CO2 level at CBYIP.D1 on March 5, 2024 at 3pm?",observation_query
How does a PH sensor operate?,general_knowledge
Tell me more about data logger.,general_knowledge
"Provide water level data from CBYIP.D4 on May 18, 2023 at 6pm.",observation_query
Tell me more about AIS receiver.,general_knowledge
