question,label
"What was the CO2 level at CBYSS on March 5, 2024 at 3pm?",data_download_instance
What sensors are located at CBYIU?,data_discovery
What is the depth of deployments at CBYDS?,data_discovery
"What was the CO2 level at CBYIP on March 5, 2024 at 3pm?",data_download_instance
"Display the turbidity at CBYSP on April 20, 2023 at 7am.",data_download_instance
What type of devices are deployed at CBYSS?,data_discovery
What is the purpose of a WET Labs ECO-PARS (S/N 440) in marine research?,general_knowledge
Does CBY have active devices?,data_discovery
What type of devices are deployed at CBYIU.AC2?,data_discovery
Explain the function of a WET Labs ECO-NTUS 319.,general_knowledge
How does a Sea-Bird SeaCAT SBE19plus V2 7769 operate?,general_knowledge
"Show me the pressure values at CBYIP.D3 on February 14, 2024 at 11am.",data_download_instance
"Display the turbidity at CBYSP on April 20, 2023 at 7am.",data_download_instance
What type of devices are deployed at CBYIJ.J1?,data_discovery
What categories of instruments are deployed at CBYIP.D1?,data_discovery
"Give conductivity data from CBYIP.D2 on October 10, 2022 at 2pm.",data_download_instance
How does a WET Labs Water Quality Monitor 196 operate?,general_knowledge
What type of devices are deployed at CBYIP.K3?,data_discovery
"Give me the salinity readings at CBYIU.AC1 on January 1, 2022 at 8am.",data_download_instance
How does a Vaisala PTB210 Barometer J3120006 operate?,general_knowledge
What devices were deployed at CBYIP in 2023?,data_discovery
Are there any video cameras at CBYSS.M1?,data_discovery
What is the purpose of a ROS Lights (SN 21251 21267) in marine research?,general_knowledge
"Retrieve light intensity at CBYIU.AC3 on December 25, 2023 at 9am.",data_download_instance
Give a list of deployments at CBYSU.,data_discovery
What is a Sea-Bird SBE 63 Dissolved Oxygen Sensor 630225?,general_knowledge
Give an overview of MOXA ioLogik E1242 TADFC1007805.,general_knowledge
Explain the function of a ONC Mini Junction Box 009.,general_knowledge
"Provide water level data from CBYIU.AC1 on May 18, 2023 at 6pm.",data_download_instance
Explain the function of a WET Labs Water Quality Monitor 233.,general_knowledge
"Give me the salinity readings at CBYSS on January 1, 2022 at 8am.",data_download_instance
How many deployments are at CBYSP?,data_discovery
Are there any video cameras at CBYIP.K1?,data_discovery
"Show me the pressure values at CBYSP on February 14, 2024 at 11am.",data_download_instance
"What was the temperature at CBYIU on August 10, 2024 at 5pm?",data_download_instance
Does CBYIP.D1 have active devices?,data_discovery
Explain the function of a Honeywell HMR3300 Orientation (SN 31963).,general_knowledge
"Display the turbidity at CBYSU on April 20, 2023 at 7am.",data_download_instance
"Display the turbidity at CBYIU.AC5 on April 20, 2023 at 7am.",data_download_instance
"What was the CO2 level at CBYIP.D2 on March 5, 2024 at 3pm?",data_download_instance
What is the purpose of a Garmin GPSMAP 62st (S/N 211006242) in marine research?,general_knowledge
What categories of instruments are deployed at CBYIP.K3?,data_discovery
What categories of instruments are deployed at CBYSP?,data_discovery
What is the purpose of a Vemco VR2C-69kHz Single-Channel Acoustic Receiver 450150 in marine research?,general_knowledge
Give a list of deployments at CBY.,data_discovery
"Show oxygen level data from CBYSU.AC2 on June 15, 2023 at noon.",data_download_instance
"Give conductivity data from CBYIP.D4 on October 10, 2022 at 2pm.",data_download_instance
"What was the temperature at CBYSU on August 10, 2024 at 5pm?",data_download_instance
Why is a Omega Environment iBTHX-D Monitor (SN 15120257) important in oceanography?,general_knowledge
What devices were deployed at CBYIU.AC2 in 2023?,data_discovery
What sensors are located at CBYIU.AC1?,data_discovery
What sensors are located at CBYSU.AC1?,data_discovery
"What was the recorded radiometer reading at CBYDS on July 4, 2022 at 10am?",data_download_instance
Give an overview of Aanderaa Optode 4531A (S/N 171).,general_knowledge
"Provide water level data from CBYIU.AC1 on May 18, 2023 at 6pm.",data_download_instance
"Give conductivity data from CBYIU.AC2 on October 10, 2022 at 2pm.",data_download_instance
"Display the turbidity at CBYSS.M1 on April 20, 2023 at 7am.",data_download_instance
How many deployments are at CBYIU?,data_discovery
"Retrieve light intensity at CBYIJ.J1 on December 25, 2023 at 9am.",data_download_instance
What is the depth of deployments at CBYIP.K2?,data_discovery
Can you describe what a Turner Cyclops-7F Fluorometer (S/N 900473) is used for?,general_knowledge
What sensors are located at CF240?,data_discovery
"What was the recorded radiometer reading at CF240 on July 4, 2022 at 10am?",data_download_instance
Does CBYIP.D2 have active devices?,data_discovery
"Retrieve light intensity at CBYIJ.J2 on December 25, 2023 at 9am.",data_download_instance
"Provide water level data from CBYIP.K3 on May 18, 2023 at 6pm.",data_download_instance
"What was the temperature at CBYIJ.J1 on August 10, 2024 at 5pm?",data_download_instance
Describe the deployment setup at CBYSS.M2.,data_discovery
