question,label
"Show me the maximum pressure for CBYIP.K3 between March 24, 2023 and April 21, 2023.",data_download_interval
"What is the lowest oxygen at CBYIP from October 07, 2023 to November 08, 2023?",data_download_interval
"What is the most frequent conductivity at CBYDS from April 07, 2023 to April 16, 2023?",data_download_interval
"How many pressure readings were recorded at CBYIP.K2 from November 10, 2023 to December 16, 2023?",data_download_interval
"What is the highest temperature at CBYIP.K2 from August 16, 2023 to August 25, 2023?",data_download_interval
"What is the difference between highest and lowest of oxygen in CBYIP.K2 between October 16, 2023 and November 10, 2023?",data_download_interval
"What is the mean conductivity at CBYIP.D4 from January 20, 2023 to February 27, 2023?",data_download_interval
"What is the average temperature at CBYIP.D1 from August 14, 2023 to August 18, 2023?",data_download_interval
"Show me the greatest oxygen for CBYIP.D1 between October 11, 2023 and October 27, 2023.",data_download_interval
"What is the highest pressure at CBYIP.K1 from September 23, 2023 to October 20, 2023?",data_download_interval
"What is the least oxygen at CBYDS from November 26, 2023 to January 13, 2024?",data_download_interval
"What is the sum of conductivity values in CBYIP from January 02, 2023 to February 02, 2023?",data_download_interval
"How many temperature readings were recorded at CBYIP.D1 from June 24, 2023 to July 08, 2023?",data_download_interval
"What is the largest pressure at CBYIP.D1 from April 03, 2023 to April 19, 2023?",data_download_interval
"What is the how many of pressure measurements at CBYIU between June 07, 2023 and July 06, 2023?",data_download_interval
"How many oxygen readings were recorded at CBYIJ.J1 from August 12, 2023 to September 12, 2023?",data_download_interval
"What is the difference between highest and lowest of temperature in CBYIP.D3 between June 10, 2023 and July 23, 2023?",data_download_interval
"Show me the greatest conductivity for CBYIP between September 28, 2023 and October 26, 2023.",data_download_interval
"What is the average salinity at CBYIP.D2 from December 23, 2023 to December 26, 2023?",data_download_interval
"What is the count of salinity measurements at CBYIJ.J2 between October 26, 2023 and December 14, 2023?",data_download_interval
"What is the greatest conductivity at CBYIP.D3 from June 28, 2023 to August 21, 2023?",data_download_interval
