question,label
"What is the spread of pressure in CBYIJ.J1 between July 01, 2023 and August 17, 2023?",data_download_interval
"What is the how many of co2 measurements at CBYIU.AC1 between May 30, 2023 and June 30, 2023?",data_download_interval
"What is the how many of depth measurements at CBYIP.K3 between January 13, 2023 and February 08, 2023?",data_download_interval
"What is the spread of light in CBYSU between October 07, 2023 and November 28, 2023?",data_download_interval
"Show me the smallest salinity for CBYSP between January 19, 2023 and March 07, 2023.",data_download_interval
"Show me the average salinity for CBYIU.AC3 between January 23, 2023 and March 13, 2023.",data_download_interval
"What is the count of co2 measurements at CBYIP.D1 between August 08, 2023 and September 02, 2023?",data_download_interval
"What is the spread of co2 in CBYIU.AC4 between March 24, 2023 and April 05, 2023?",data_download_interval
"What is the how many of temperature measurements at CBYIU.AC2 between May 19, 2023 and July 08, 2023?",data_download_interval
"What is the spread of temperature in CBYIJ.J1 between January 01, 2024 and January 05, 2024?",data_download_interval
"Show me the smallest intensity for CBYIP between July 17, 2023 and September 11, 2023.",data_download_interval
"Show me the least depth for CBYSU between March 21, 2023 and April 07, 2023.",data_download_interval
"What is the average co2 at CBYSU.AC1 from January 29, 2023 to March 18, 2023?",data_download_interval
"What is the minimum depth at CBYIU.AC1 from July 05, 2023 to August 21, 2023?",data_download_interval
"What is the most frequent co2 at CBYIP.K2 from September 13, 2023 to October 16, 2023?",data_download_interval
"What is the spread of turbidity in CBYSS.M2 between November 26, 2023 and December 23, 2023?",data_download_interval
"What is the aggregate of conductivity values in CF240 from January 25, 2023 to March 17, 2023?",data_download_interval
"What is the most frequent depth at CBYSS from April 27, 2023 to June 15, 2023?",data_download_interval
"What is the most common pressure at CBYIP from August 14, 2023 to September 07, 2023?",data_download_interval
"What is the most common pressure at CBYSS.M2 from January 20, 2023 to March 12, 2023?",data_download_interval
"What is the minimum conductivity at CBYSU.AC1 from March 02, 2023 to March 06, 2023?",data_download_interval
"Show me the mean pressure for CBYSS.M2 between April 28, 2023 and June 24, 2023.",data_download_interval
"What is the mode co2 at CBYIJ.J1 from December 18, 2023 to January 25, 2024?",data_download_interval
"What is the mode temperature at CBYSU.AC1 from June 13, 2023 to June 30, 2023?",data_download_interval
"What is the largest oxygen at CBYSU from June 28, 2023 to August 16, 2023?",data_download_interval
"What is the sum of oxygen values in CBYDS from May 04, 2023 to June 21, 2023?",data_download_interval
"What is the mean oxygen at CBYSU from April 26, 2023 to June 11, 2023?",data_download_interval
"What is the sum of co2 values in CF240 from July 10, 2023 to August 08, 2023?",data_download_interval
"What is the most frequent salinity at CBYIJ.J2 from March 19, 2023 to May 01, 2023?",data_download_interval
"What is the maximum intensity at CBYIP from December 02, 2023 to December 12, 2023?",data_download_interval
"What is the aggregate of co2 values in CBYIU.AC2 from January 08, 2023 to February 06, 2023?",data_download_interval
"What is the greatest pressure at CBYIU.AC1 from September 07, 2023 to November 01, 2023?",data_download_interval
"Show me the maximum conductivity for CBYIU.AC5 between December 21, 2023 and February 15, 2024.",data_download_interval
"What is the greatest temperature at CBYIP from August 06, 2023 to October 03, 2023?",data_download_interval
"What is the sum of light values in CBYIP.K3 from October 07, 2023 to November 24, 2023?",data_download_interval
"What is the aggregate of conductivity values in CBYSU.AC1 from July 20, 2023 to August 04, 2023?",data_download_interval
"How many conductivity readings were recorded at CBYIP.K3 from December 30, 2023 to January 05, 2024?",data_download_interval
"Show me the greatest salinity for CBYIP.D1 between July 19, 2023 and September 14, 2023.",data_download_interval
